Штат,Необходимое дополнительное количетсво задач
Aguascalientes,53
Baja California,133
Ciudad de México,1233
Coahuila,30
Edo.Mex,751
Guanajuato,93
Guerrero,1
Hidalgo,26
Jalisco,503
Michoacán,5
Morelos,3
Nuevo León,147
Puebla,108
Querétaro,448
San Luis Potosí,85
Yucatán,76
