state,need_,need
Aguascalientes,49,35
Baja California,134,75
Ciudad de México,410,205
Coahuila,10,10
Durango,1,1
Edo.Mex,297,136
Guanajuato,121,92
Hidalgo,116,68
Jalisco,133,95
Nayarit,2,2
Nuevo León,331,265
Oaxaca,2,2
Puebla,64,38
Querétaro,128,91
San Luis Potosí,132,90
Sinaloa,5,5
Sonora,1,1
Tamaulipas,3,3
Tlaxcala,3,3
Veracruz,1,1
Yucatán,2,2
